Connecting to host 10.0.0.1, port 5304
[  5] local 10.0.0.4 port 51316 connected to 10.0.0.1 port 5304
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  7.00 MBytes  58.7 Mbits/sec    0   1.85 MBytes       
[  5]   1.00-2.00   sec  8.25 MBytes  69.2 Mbits/sec    0    587 KBytes       
[  5]   2.00-3.00   sec  5.38 MBytes  45.1 Mbits/sec    0    628 KBytes       
[  5]   3.00-4.00   sec  6.75 MBytes  56.6 Mbits/sec    0    655 KBytes       
[  5]   4.00-5.00   sec  6.75 MBytes  56.6 Mbits/sec    0    669 KBytes       
[  5]   5.00-6.00   sec  5.50 MBytes  46.1 Mbits/sec    0    676 KBytes       
[  5]   6.00-7.00   sec  6.75 MBytes  56.6 Mbits/sec    0    676 KBytes       
[  5]   7.00-8.00   sec  6.75 MBytes  56.6 Mbits/sec    0    676 KBytes       
[  5]   8.00-9.00   sec  5.50 MBytes  46.1 Mbits/sec    0    677 KBytes       
[  5]   9.00-10.00  sec  6.75 MBytes  56.6 Mbits/sec    0    686 KBytes       
[  5]  10.00-11.00  sec  6.75 MBytes  56.6 Mbits/sec    0    701 KBytes       
[  5]  11.00-12.00  sec  6.75 MBytes  56.6 Mbits/sec    0    730 KBytes       
[  5]  12.00-13.00  sec  6.88 MBytes  57.7 Mbits/sec    0    773 KBytes       
[  5]  13.00-14.00  sec  8.12 MBytes  68.2 Mbits/sec    0    836 KBytes       
[  5]  14.00-15.00  sec  8.12 MBytes  68.2 Mbits/sec    0    922 KBytes       
[  5]  15.00-16.00  sec  9.50 MBytes  79.7 Mbits/sec    0   1.01 MBytes       
[  5]  16.00-17.00  sec  9.50 MBytes  79.7 Mbits/sec    0   1.14 MBytes       
[  5]  17.00-18.00  sec  12.1 MBytes   102 Mbits/sec    0   1.31 MBytes       
[  5]  18.00-19.00  sec  13.6 MBytes   114 Mbits/sec    0   1.52 MBytes       
[  5]  19.00-20.00  sec  14.9 MBytes   125 Mbits/sec    0   1.76 MBytes       
[  5]  20.00-21.00  sec  19.0 MBytes   159 Mbits/sec    0   2.04 MBytes       
[  5]  21.00-22.00  sec  19.0 MBytes   159 Mbits/sec    0   2.37 MBytes       
[  5]  22.00-23.00  sec  17.5 MBytes   147 Mbits/sec    0   1.27 MBytes       
[  5]  23.00-24.00  sec  13.6 MBytes   114 Mbits/sec    0   1.36 MBytes       
[  5]  24.00-25.00  sec  12.1 MBytes   102 Mbits/sec    0   1.42 MBytes       
[  5]  25.00-26.00  sec  15.0 MBytes   126 Mbits/sec    0   1.47 MBytes       
[  5]  26.00-27.00  sec  13.5 MBytes   113 Mbits/sec    0   1.49 MBytes       
[  5]  27.00-28.00  sec  14.9 MBytes   125 Mbits/sec    0   1.51 MBytes       
[  5]  28.00-29.00  sec  15.0 MBytes   126 Mbits/sec    0   1.52 MBytes       
[  5]  29.00-30.00  sec  13.5 MBytes   113 Mbits/sec    0   1.52 MBytes       
[  5]  30.00-31.00  sec  14.9 MBytes   125 Mbits/sec    0   1.52 MBytes       
[  5]  31.00-32.00  sec  15.0 MBytes   126 Mbits/sec    0   1.52 MBytes       
[  5]  32.00-33.00  sec  14.9 MBytes   125 Mbits/sec    0   1.53 MBytes       
[  5]  33.00-34.00  sec  14.9 MBytes   125 Mbits/sec    0   1.54 MBytes       
[  5]  34.00-35.00  sec  15.0 MBytes   126 Mbits/sec    0   1.57 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-35.00  sec   389 MBytes  93.3 Mbits/sec    0             sender
[  5]   0.00-35.10  sec   388 MBytes  92.6 Mbits/sec                  receiver

iperf Done.
